#Period                           :500.223450
#Sampling Interval                :0.234000
#Total no. of lines is 3(including this line) and the numeric values at each line start from the 36th character
0.000000 0.199919
0.000468 0.200346
0.000936 0.201371
0.001404 0.202056
0.001873 0.202738
0.002341 0.203765
0.002809 0.204445
0.003277 0.205132
0.003745 0.206155
0.004213 0.206839
0.004682 0.207861
0.005150 0.208548
0.005618 0.209235
0.006086 0.210256
0.006554 0.210940
0.007022 0.211623
0.007491 0.212654
0.007959 0.213679
0.008427 0.214009
0.008895 0.215040
0.009363 0.216066
0.009831 0.216756
0.010300 0.217418
0.010768 0.217782
0.011236 0.218799
0.011704 0.220166
0.012172 0.220158
0.012640 0.221201
0.013109 0.222226
0.013577 0.222558
0.014045 0.223584
0.014513 0.224609
0.014981 0.224961
0.015449 0.225976
0.015918 0.226989
0.016386 0.227684
0.016854 0.228710
0.017322 0.229406
0.017790 0.230077
0.018258 0.230760
0.018727 0.231785
0.019195 0.232482
0.019663 0.233508
0.020131 0.234163
0.020599 0.234876
0.021067 0.235886
0.021536 0.236585
0.022004 0.237221
0.022472 0.238294
0.022940 0.239303
0.023408 0.239987
0.023876 0.240653
0.024345 0.241713
0.024813 0.242055
0.025281 0.243062
0.025749 0.244087
0.026217 0.244429
0.026685 0.245132
0.027154 0.245796
0.027622 0.246801
0.028090 0.247505
0.028558 0.248530
0.029026 0.249234
0.029494 0.249875
0.029963 0.250602
0.030431 0.251605
0.030899 0.252653
0.031367 0.253291
0.031835 0.254021
0.032303 0.255046
0.032772 0.255706
0.033240 0.256366
0.033708 0.257757
0.034176 0.258123
0.034644 0.259123
0.035112 0.260123
0.035581 0.260490
0.036049 0.261542
0.036517 0.262226
0.036985 0.262856
0.037453 0.263935
0.037921 0.264933
0.038390 0.265303
0.038858 0.266243
0.039326 0.267354
0.039794 0.267667
0.040262 0.269034
0.040730 0.269687
0.041199 0.270742
0.041667 0.271114
0.042135 0.271767
0.042603 0.272451
0.043071 0.273134
0.043539 0.273849
0.044007 0.274875
0.044476 0.275494
0.044944 0.276210
0.045412 0.277577
0.045880 0.277952
0.046348 0.279218
0.046816 0.279661
0.047285 0.280311
0.047753 0.281371
0.048221 0.281984
0.048689 0.282738
0.049157 0.283764
0.049625 0.284753
0.050094 0.285059
0.050562 0.286462
0.051030 0.287183
0.051498 0.287487
0.051966 0.288816
0.052434 0.289537
0.052903 0.290563
0.053371 0.290943
0.053839 0.291929
0.054307 0.292271
0.054775 0.293296
0.055243 0.294020
0.055712 0.294704
0.056180 0.295648
